                                Installed Skills
┏━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━┓
┃ Name                  ┃ Category             ┃ Source   ┃ Trust    ┃ Status  ┃
│ humanizer             │ creative             │ builtin  │ builtin  │ enabled │
│ ideation              │ creative             │ local    │ local    │ enabled │
│ manim-video           │ creative             │ builtin  │ builtin  │ enabled │
│ p5js                  │ creative             │ builtin  │ builtin  │ enabled │
│ pixel-art             │ creative             │ official │ official │ enabled │
│ popular-web-designs   │ creative             │ builtin  │ builtin  │ enabled │
│ pretext               │ creative             │ builtin  │ builtin  │ enabled │
│ sketch                │ creative             │ builtin  │ builtin  │ enabled │
│ songwriting-and-ai-m… │ creative             │ builtin  │ builtin  │ enabled │
│ touchdesigner-mcp     │ creative             │ builtin  │ builtin  │ enabled │
│ jupyter-live-kernel   │ data-science         │ builtin  │ builtin  │ enabled │
│ accessibility         │ design               │ local    │ local    │ enabled │
│ ui-design-system      │ design               │ local    │ local    │ enabled │
│ api-documentation     │ development          │ local    │ local    │ enabled │
│ architecture-decisio… │ development          │ local    │ local    │ enabled │
│ clean-code            │ development          │ local    │ local    │ enabled │
│ code-review           │ development          │ local    │ local    │ enabled │
│ debugging-mastery     │ development          │ local    │ local    │ enabled │
│ dependency-management │ development          │ local    │ local    │ enabled │
│ documentation-genera… │ development          │ local    │ local    │ enabled │
│ git-workflow          │ development          │ local    │ local    │ enabled │
│ hyperframes           │ development          │ local    │ local    │ enabled │
│ hyperframes-cli       │ development          │ local    │ local    │ enabled │
│ hyperframes-media     │ development          │ local    │ local    │ enabled │
│ knowledge-base        │ development          │ local    │ local    │ enabled │
│ markdown-mastery      │ development          │ local    │ local    │ enabled │
│ refactoring-patterns  │ development          │ local    │ local    │ enabled │
│ technical-writing     │ development          │ local    │ local    │ enabled │
│ testing-strategies    │ development          │ local    │ local    │ enabled │
│ ci-cd-pipeline        │ devops               │ local    │ local    │ enabled │
│ cloud-architecture    │ devops               │ local    │ local    │ enabled │
│ docker-patterns       │ devops               │ local    │ local    │ enabled │
│ kubernetes-patterns   │ devops               │ local    │ local    │ enabled │
│ monitoring-observabi… │ devops               │ local    │ local    │ enabled │
│ sre-practices         │ devops               │ local    │ local    │ enabled │
│ terraform-iac         │ devops               │ local    │ local    │ enabled │
│ webhook-subscriptions │ devops               │ local    │ local    │ enabled │
│ himalaya              │ email                │ builtin  │ builtin  │ enabled │
│ component-design-sys… │ frontend             │ local    │ local    │ enabled │
│ frontend-testing      │ frontend             │ local    │ local    │ enabled │
│ nextjs-patterns       │ frontend             │ local    │ local    │ enabled │
│ react-patterns        │ frontend             │ local    │ local    │ enabled │
│ responsive-design     │ frontend             │ local    │ local    │ enabled │
│ state-management      │ frontend             │ local    │ local    │ enabled │
│ tailwind-css          │ frontend             │ local    │ local    │ enabled │
│ web-performance       │ frontend             │ local    │ local    │ enabled │
│ minecraft-modpack-se… │ gaming               │ official │ official │ enabled │
│ pokemon-player        │ gaming               │ official │ official │ enabled │
│ codebase-inspection   │ github               │ builtin  │ builtin  │ enabled │
│ github-auth           │ github               │ builtin  │ builtin  │ enabled │
│ github-code-review    │ github               │ builtin  │ builtin  │ enabled │
│ github-issues         │ github               │ builtin  │ builtin  │ enabled │
│ github-pr-workflow    │ github               │ builtin  │ builtin  │ enabled │
│ github-repo-manageme… │ github               │ builtin  │ builtin  │ enabled │
│ native-mcp            │ mcp                  │ local    │ local    │ enabled │
│ gif-search            │ media                │ builtin  │ builtin  │ enabled │
│ heartmula             │ media                │ builtin  │ builtin  │ enabled │
│ songsee               │ media                │ builtin  │ builtin  │ enabled │
│ spotify               │ media                │ local    │ local    │ enabled │
│ youtube-content       │ media                │ builtin  │ builtin  │ enabled │
│ audiocraft-audio-gen… │ mlops                │ builtin  │ builtin  │ enabled │
│ axolotl               │ mlops                │ official │ official │ enabled │
│ dspy                  │ mlops                │ official │ official │ enabled │
│ evaluating-llms-harn… │ mlops                │ builtin  │ builtin  │ enabled │
│ fine-tuning-with-trl  │ mlops                │ local    │ local    │ enabled │
│ huggingface-hub       │ mlops                │ builtin  │ builtin  │ enabled │
│ llama-cpp             │ mlops                │ builtin  │ builtin  │ enabled │
